"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28677","NSW1662","23.3.2024","2,427.01","2,427.01","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28678","NSW1663","23.3.2024","2,745.27","2,745.27","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28679","NSW1664","23.3.2024","667.36","667.36","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28680","NSW1665","23.3.2024","2,659.31","2,659.31","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28681","NSW1666","23.3.2024","3,527.00","3,527.00","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28682","NSW1667","23.3.2024","3,675.77","3,675.77","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28683","NSW1668","23.3.2024","2,919.93","2,919.93","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28684","NSW1669","23.3.2024","2,094.17","2,094.17","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28685","NSW1670","23.3.2024","1,311.48","1,311.48","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","6.4.2024","69","Georgiou","69","Georgiou","","","28686","NSW1671","23.3.2024","1,311.48","1,311.48","Email/PDF","Sent"
